time_id,deprivation_level,lsoa_code,crime_count
2015-03-01,High,E01001298,9
2015-03-01,High,E01001311,8
2015-03-01,High,E01001316,8
2015-03-01,High,E01001324,9
2015-03-01,High,E01001326,14
2015-03-01,High,E01001327,28
2015-03-01,High,E01001338,16
2015-03-01,High,E01001349,5
2015-03-01,High,E01001351,46
2015-03-01,High,E01001360,28
2015-03-01,High,E01001362,15
2015-03-01,High,E01001365,11
2015-03-01,High,E01001366,11
2015-03-01,High,E01001367,10
2015-03-01,High,E01001368,4
2015-03-01,High,E01001371,18
2015-03-01,High,E01001372,12
2015-03-01,High,E01001412,19
2015-03-01,High,E01001423,16
2015-03-01,High,E01001434,11
2015-03-01,High,E01001436,4
2015-03-01,High,E01001440,17
2015-03-01,High,E01001445,25
2015-03-01,High,E01001446,8
2015-03-01,High,E01001448,10
2015-03-01,High,E01001449,12
2015-03-01,High,E01001466,6
2015-03-01,High,E01001468,17
2015-03-01,High,E01001476,12
2015-03-01,High,E01001479,26
2015-03-01,High,E01001480,5
2015-03-01,High,E01001488,10
2015-03-01,High,E01001489,6
2015-03-01,High,E01001491,2
2015-03-01,High,E01001492,9
2015-03-01,High,E01001493,13
2015-03-01,High,E01001502,20
2015-03-01,High,E01001503,7
2015-03-01,High,E01001504,11
2015-03-01,High,E01001505,13
2015-03-01,High,E01001508,19
2015-03-01,High,E01001513,51
2015-03-01,High,E01001516,22
2015-03-01,High,E01001529,12
2015-03-01,High,E01001546,3
2015-03-01,High,E01001547,21
2015-03-01,High,E01001548,10
2015-03-01,High,E01001557,8
2015-03-01,High,E01001577,18
2015-03-01,High,E01001589,15
2015-03-01,High,E01001591,6
2015-03-01,High,E01001602,15
2015-03-01,High,E01001620,9
2015-03-01,High,E01001621,5
2015-03-01,High,E01001629,10
2015-03-01,High,E01001637,12
2015-03-01,High,E01001638,12
2015-03-01,High,E01001640,43
2015-03-01,High,E01001645,14
2015-03-01,High,E01001650,14
2015-03-01,High,E01001660,12
2015-03-01,High,E01001669,16
2015-03-01,High,E01001672,17
2015-03-01,High,E01001675,41
2015-03-01,High,E01001676,16
2015-03-01,High,E01001690,7
2015-03-01,High,E01001692,8
2015-03-01,High,E01001698,11
2015-03-01,High,E01001700,25
2015-03-01,High,E01001701,37
2015-03-01,High,E01001703,10
2015-03-01,High,E01001705,19
2015-03-01,High,E01001710,12
2015-03-01,High,E01001711,8
2015-03-01,High,E01001712,7
2015-03-01,High,E01001715,19
2015-03-01,High,E01001717,11
2015-03-01,High,E01001722,20
2015-03-01,High,E01001726,5
2015-03-01,High,E01001728,5
2015-03-01,High,E01001731,26
2015-03-01,High,E01001733,21
2015-03-01,High,E01001742,37
2015-03-01,High,E01001744,4
2015-03-01,High,E01001747,49
2015-03-01,High,E01001748,46
2015-03-01,High,E01001749,6
2015-03-01,High,E01001754,19
2015-03-01,High,E01001757,1
2015-03-01,High,E01001759,9
2015-03-01,High,E01001762,34
2015-03-01,High,E01001764,19
2015-03-01,High,E01001774,22
2015-03-01,High,E01001779,50
2015-03-01,High,E01001785,5
2015-03-01,High,E01001789,9
2015-03-01,High,E01001791,16
2015-03-01,High,E01001792,17
2015-03-01,High,E01001795,14
2015-03-01,High,E01001796,11
2015-03-01,High,E01001801,7
2015-03-01,High,E01001802,2
2015-03-01,High,E01001805,11
2015-03-01,High,E01001806,23
2015-03-01,High,E01001807,13
2015-03-01,High,E01001808,21
2015-03-01,High,E01001812,2
2015-03-01,High,E01001814,22
2015-03-01,High,E01001819,14
2015-03-01,High,E01001823,8
2015-03-01,High,E01001830,30
2015-03-01,High,E01001831,33
2015-03-01,High,E01001832,9
2015-03-01,High,E01001833,25
2015-03-01,High,E01001834,10
2015-03-01,High,E01001841,10
2015-03-01,High,E01001843,13
2015-03-01,High,E01001856,10
2015-03-01,High,E01001858,22
2015-03-01,High,E01001860,25
2015-03-01,High,E01001861,14
2015-03-01,High,E01001862,15
2015-03-01,High,E01001864,14
2015-03-01,High,E01001875,25
2015-03-01,High,E01001877,18
2015-03-01,High,E01001892,8
2015-03-01,High,E01001894,44
2015-03-01,High,E01001920,47
2015-03-01,High,E01001930,13
2015-03-01,High,E01001938,9
2015-03-01,High,E01001941,75
2015-03-01,High,E01001943,166
2015-03-01,High,E01001954,12
2015-03-01,High,E01001956,20
2015-03-01,High,E01001980,13
2015-03-01,High,E01001981,10
2015-03-01,High,E01001982,14
2015-03-01,High,E01001983,10
2015-03-01,High,E01002027,7
2015-03-01,High,E01002028,9
2015-03-01,High,E01002031,86
2015-03-01,High,E01002043,25
2015-03-01,High,E01002045,18
2015-03-01,High,E01002046,17
2015-03-01,High,E01002049,24
2015-03-01,High,E01002052,11
2015-03-01,High,E01002056,17
2015-03-01,High,E01002064,12
2015-03-01,High,E01002065,10
2015-03-01,High,E01002068,30
2015-03-01,High,E01002076,15
2015-03-01,High,E01002080,47
2015-03-01,High,E01002084,20
2015-03-01,High,E01002085,24
2015-03-01,High,E01002086,10
2015-03-01,High,E01002102,10
2015-03-01,High,E01002105,32
2015-03-01,High,E01002120,2
2015-03-01,High,E01002131,4
2015-03-01,High,E01002133,39
2015-03-01,High,E01002139,7
2015-03-01,High,E01002185,7
2015-03-01,High,E01002211,8
2015-03-01,High,E01002217,22
2015-03-01,High,E01002235,12
2015-03-01,High,E01002243,23
2015-03-01,High,E01002264,12
2015-03-01,High,E01002276,6
2015-03-01,High,E01002277,12
2015-03-01,High,E01002278,21
2015-03-01,High,E01002283,5
2015-03-01,High,E01002284,21
2015-03-01,High,E01002303,20
2015-03-01,High,E01002306,6
2015-03-01,High,E01002312,7
2015-03-01,High,E01002345,34
2015-03-01,High,E01002370,25
2015-03-01,High,E01002375,7
2015-03-01,High,E01002396,7
2015-03-01,High,E01002404,8
2015-03-01,High,E01002408,22
2015-03-01,High,E01002413,13
2015-03-01,High,E01002429,4
2015-03-01,High,E01002445,14
2015-03-01,High,E01002493,10
2015-03-01,High,E01002502,8
2015-03-01,High,E01002503,20
2015-03-01,High,E01002506,62
2015-03-01,High,E01002519,9
2015-03-01,High,E01002521,75
2015-03-01,High,E01002526,16
2015-03-01,High,E01002527,16
2015-03-01,High,E01002532,10
2015-03-01,High,E01002540,14
2015-03-01,High,E01002542,18
2015-03-01,High,E01002543,10
2015-03-01,High,E01002548,15
2015-03-01,High,E01002550,9
2015-03-01,High,E01002552,15
2015-03-01,High,E01002554,69
2015-03-01,High,E01002560,15
2015-03-01,High,E01002562,15
2015-03-01,High,E01002568,21
2015-03-01,High,E01002572,19
2015-03-01,High,E01002585,10
2015-03-01,High,E01002600,10
2015-03-01,High,E01002605,19
2015-03-01,High,E01002608,26
2015-03-01,High,E01002623,13
2015-03-01,High,E01002627,2
2015-03-01,High,E01002634,12
2015-03-01,High,E01002637,15
2015-03-01,High,E01002638,23
2015-03-01,High,E01002646,14
2015-03-01,High,E01002664,40
2015-03-01,High,E01002697,21
2015-03-01,High,E01002701,17
2015-03-01,High,E01002702,24
2015-03-01,High,E01002703,14
2015-03-01,High,E01002708,23
2015-03-01,High,E01002710,47
2015-03-01,High,E01002721,12
