time_id,lsoa_code,deprivation_level,crime_count
2015-03-01,E01000211,Low,3
2015-03-01,E01000212,Very Low,2
2015-03-01,E01000213,Very Low,1
2015-03-01,E01000214,Very Low,3
2015-03-01,E01000215,Very Low,1
2015-03-01,E01000216,Very Low,3
2015-03-01,E01000218,Low,2
2015-03-01,E01000219,Low,4
2015-03-01,E01000220,Low,2
2015-03-01,E01000221,Very High,1
2015-03-01,E01000223,Very High,5
2015-03-01,E01000225,Very Low,1
2015-03-01,E01000226,High,2
2015-03-01,E01000227,Very Low,2
2015-03-01,E01000228,Very Low,2
2015-03-01,E01000232,Low,2
2015-03-01,E01000233,Very Low,1
2015-03-01,E01000234,Very Low,1
2015-03-01,E01000235,Medium,2
2015-03-01,E01000236,Very Low,1
2015-03-01,E01000237,Very Low,9
2015-03-01,E01000238,Low,1
2015-03-01,E01000239,Medium,5
2015-03-01,E01000240,Low,1
2015-03-01,E01000241,Very Low,3
2015-03-01,E01000243,Very Low,2
2015-03-01,E01000244,Low,4
2015-03-01,E01000245,Medium,4
2015-03-01,E01000246,Very Low,2
2015-03-01,E01000247,Very Low,1
2015-03-01,E01000250,Very Low,4
2015-03-01,E01000251,Low,5
2015-03-01,E01000253,Very Low,2
2015-03-01,E01000254,Very Low,1
2015-03-01,E01000255,Low,3
2015-03-01,E01000256,Very Low,3
2015-03-01,E01000257,Medium,3
2015-03-01,E01000258,Very Low,7
2015-03-01,E01000259,Very Low,3
2015-03-01,E01000260,Low,4
2015-03-01,E01000262,Very Low,6
2015-03-01,E01000264,Low,4
2015-03-01,E01000265,Low,1
2015-03-01,E01000266,Very Low,2
2015-03-01,E01000268,Low,2
2015-03-01,E01000269,Very Low,1
2015-03-01,E01000270,Very Low,3
2015-03-01,E01000271,Very Low,1
2015-03-01,E01000272,Very Low,1
2015-03-01,E01000273,Very Low,1
2015-03-01,E01000274,Low,2
2015-03-01,E01000275,Very Low,3
2015-03-01,E01000277,Low,1
2015-03-01,E01000281,Very Low,1
2015-03-01,E01000284,Low,1
2015-03-01,E01000285,Low,2
2015-03-01,E01000286,Medium,2
2015-03-01,E01000287,Medium,5
2015-03-01,E01000288,Very Low,1
2015-03-01,E01000289,Very High,3
2015-03-01,E01000290,Low,2
2015-03-01,E01000292,Very Low,2
2015-03-01,E01000294,Very Low,1
2015-03-01,E01000296,Very Low,8
2015-03-01,E01000297,Very Low,1
2015-03-01,E01000298,Very Low,2
2015-03-01,E01000299,Low,4
2015-03-01,E01000301,Very Low,1
2015-03-01,E01000302,Low,1
2015-03-01,E01000305,High,3
2015-03-01,E01000306,Very Low,1
2015-03-01,E01000307,Medium,5
2015-03-01,E01000308,High,7
2015-03-01,E01000310,Low,1
2015-03-01,E01000311,Very Low,4
2015-03-01,E01000312,Medium,1
2015-03-01,E01000313,Low,1
2015-03-01,E01000314,Very Low,6
2015-03-01,E01000315,High,4
2015-03-01,E01000316,Low,1
2015-03-01,E01000318,Low,1
2015-03-01,E01000319,Very Low,1
2015-03-01,E01000320,Very Low,1
2015-03-01,E01000321,Low,3
2015-03-01,E01000322,Low,1
2015-03-01,E01000323,Low,2
2015-03-01,E01000324,Very Low,1
2015-03-01,E01000328,Very Low,4
2015-03-01,E01000329,Low,3
2015-03-01,E01000330,Low,3
2015-03-01,E01000331,High,3
2015-03-01,E01000332,Low,2
2015-03-01,E01000333,Medium,1
2015-03-01,E01000334,Very Low,2
2015-03-01,E01000335,High,3
2015-03-01,E01000336,High,1
2015-03-01,E01000337,Low,3
2015-03-01,E01000341,Very Low,2
2015-03-01,E01000342,Very Low,2
2015-03-01,E01000344,Very Low,1
2015-03-01,E01000347,Very Low,1
2015-03-01,E01000348,Very Low,1
2015-03-01,E01000350,Very Low,1
2015-03-01,E01000351,Very Low,2
2015-03-01,E01000354,Medium,3
2015-03-01,E01000355,Very Low,1
2015-03-01,E01000358,Very Low,1
2015-03-01,E01000359,Very Low,1
2015-03-01,E01000360,Low,12
2015-03-01,E01000362,Very Low,6
2015-03-01,E01000363,Very Low,1
2015-03-01,E01000364,Very Low,1
2015-03-01,E01000365,Low,3
2015-03-01,E01000366,Very Low,2
2015-03-01,E01000367,High,6
2015-03-01,E01000368,Very High,5
2015-03-01,E01000369,Low,2
2015-03-01,E01000370,Very Low,4
2015-03-01,E01000371,Very Low,1
2015-03-01,E01000372,High,1
2015-03-01,E01000373,High,1
2015-03-01,E01000376,Low,2
2015-03-01,E01000377,Very Low,1
2015-03-01,E01000378,Medium,6
2015-03-01,E01000380,Medium,2
2015-03-01,E01000381,High,5
2015-03-01,E01000382,Very Low,2
2015-03-01,E01000383,Medium,1
2015-03-01,E01000384,Very Low,1
2015-03-01,E01000385,High,4
2015-03-01,E01000386,Very High,2
2015-03-01,E01000387,Very Low,1
2015-03-01,E01000389,Very Low,1
2015-03-01,E01000390,Very Low,2
2015-03-01,E01000391,Very Low,2
2015-03-01,E01000392,Medium,4
2015-03-01,E01000393,Very Low,3
2015-03-01,E01000394,Very Low,3
2015-03-01,E01000395,Very Low,1
2015-03-01,E01000396,Very Low,1
2015-03-01,E01000399,Very Low,2
2015-03-01,E01000400,Low,4
